Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
zcash-bitcoin,0.00053574,0.699794285,0.076556784,bittrex,cryptopia,0.07599979,0.07653553
burst-bitcoin,7.00E-08,1.839684625,3.81E-06,poloniex,bittrex,3.77E-06,3.84E-06
bytecoin-bitcoin,1.12E-07,21.56680253,5.19E-07,hitbtc,poloniex,4.78E-07,5.90E-07
dash-bitcoin,0.00066,0.932681295,0.070763722,bitfinex,kraken,0.070462,0.071122
digibyte-bitcoin,7.00E-08,1.039861352,6.73E-06,cryptopia,poloniex,6.75E-06,6.82E-06
augur-bitcoin,7.08E-05,0.920563367,0.00768877,cryptopia,kraken,0.00766922,0.00774
pinkcoin-bitcoin,7.00E-08,1.371652515,5.10E-06,cryptopia,poloniex,5.09E-06,5.16E-06
vcash-bitcoin,7.55E-06,6.409440129,0.000117795,poloniex,bittrex,0.00011272,0.00012027
vericoin-bitcoin,1.70E-06,1.596144216,0.000106507,poloniex,cryptopia,0.00010599,0.00010769
litecoin-ethereum,4.86297882,184.7629103,2.632010295,bittrex,xbtce,0.19968118,5.06266
namecoin-bitcoin,6.27E-06,0.761148642,0.000823755,xbtce,poloniex,0.00082,0.00082627
bytecoin-bitcoin,1.12E-07,21.6261364,5.19E-07,hitbtc,poloniex,4.78E-07,5.90E-07
steem-bitcoin,1.00E-05,1.73619149,0.000575973,poloniex,hitbtc,0.00057,0.00058
iconomi-bitcoin,7.00E-06,0.54730258,0.001279,kraken,hitbtc,0.001273,0.00128
ethereum classic-bitcoin,3.88E-05,0.668934954,0.005800265,cryptopia,kraken,0.00576932,0.00580812
dash-bitcoin,0.00036602,0.515899301,0.070947954,cryptopia,bitfinex,0.07069798,0.071064
eos-bitcoin,4.11E-06,0.593694702,0.000692275,kraken,bitfinex,0.00069,0.00069411
dash-bitcoin,0.00036502,0.514532346,0.07094209,cryptopia,bitfinex,0.07069798,0.071063
ethereum classic-bitcoin,4.66E-05,0.802678306,0.005803072,cryptopia,bitfinex,0.00576932,0.0058159
iconomi-bitcoin,2.20E-05,1.712062257,0.001285,kraken,hitbtc,0.001273,0.001295
bytecoin-bitcoin,1.12E-07,21.61988567,5.19E-07,hitbtc,poloniex,4.78E-07,5.90E-07
dash-bitcoin,0.00037102,0.523202624,0.070913253,cryptopia,bitfinex,0.07069798,0.071069
decred-bitcoin,5.28E-05,0.527087787,0.010017307,cryptopia,poloniex,0.01002221,0.01007501
dnotes-bitcoin,3.60E-07,1.340407707,2.69E-05,poloniex,cryptopia,2.66E-05,2.70E-05
namecoin-bitcoin,1.32E-05,1.597176745,0.00082458,xbtce,cryptopia,0.00082,0.00083317
pascalcoin-bitcoin,3.72E-06,1.95280716,0.000190495,poloniex,cryptopia,0.00018765,0.00019137
pinkcoin-bitcoin,6.00E-08,1.176086246,5.10E-06,cryptopia,poloniex,5.09E-06,5.15E-06
steem-bitcoin,2.13E-05,3.737797192,0.000568517,poloniex,hitbtc,0.00055875,0.00058
vcash-bitcoin,6.62E-06,5.632364827,0.000117535,poloniex,bittrex,0.00011356,0.00012018
vericoin-bitcoin,2.18E-06,2.05105689,0.000106287,poloniex,cryptopia,0.00010551,0.00010769
